City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,onokhoy,51.932,108.0747,-32.94,99,72,0.56,RU,1706563207
83,bandar lampung,-5.4254,105.258,23.9,94,100,2.86,ID,1706563173
84,north bend,43.4065,-124.2243,19.48,77,0,5.14,US,1706563208
85,invercargill,-46.4,168.35,18.34,74,55,2.24,NZ,1706563209
86,port blair,11.6667,92.75,26.37,78,40,3.62,IN,1706563210
87,susuman,62.7833,148.1667,-33.9,94,100,0.45,RU,1706563210
88,east london,-33.0153,27.9116,26.12,81,99,7.34,ZA,1706563211
89,kayes,14.0,-11.0,27.0,11,68,3.16,ML,1706563212
90,afaahiti,-17.75,-149.2833,29.93,78,99,1.72,PF,1706563212
91,olonkinbyen,70.9221,-8.7187,-5.73,55,98,3.8,SJ,1706563213
92,sept-iles,50.2001,-66.3821,-13.0,43,0,4.63,CA,1706563214
93,rudnyy,52.9594,63.1206,-13.87,100,87,1.8,KZ,1706563214
94,beyneu,45.3167,55.2,-5.54,78,100,3.29,KZ,1706563215
95,sao jose da coroa grande,-8.8978,-35.1478,27.25,75,13,3.71,BR,1706563215
96,palmer,42.1584,-72.3287,1.65,76,100,5.14,US,1706563216
97,petropavlovsk-kamchatsky,53.0452,158.6483,-15.3,93,0,5.0,RU,1706563014
98,port lincoln,-34.7333,135.8667,17.23,82,85,4.81,AU,1706563217
99,flying fish cove,-10.4217,105.6791,24.82,94,40,1.54,CX,1706563218
100,buka,40.8108,69.1986,4.75,81,100,2.16,UZ,1706563218
101,richards bay,-28.783,32.0377,24.0,80,41,4.41,ZA,1706563219
102,san julian,21.0167,-102.1667,20.98,20,98,1.77,MX,1706562967
103,port hedland,-20.3167,118.5667,26.03,83,40,4.12,AU,1706563220
104,usogorsk,63.4106,48.6872,-4.63,94,100,4.76,RU,1706563221
105,yashkul',46.1711,45.3435,-5.82,89,91,3.18,RU,1706563222
106,camacupa,-12.0167,17.4833,17.43,96,96,2.09,AO,1706563222
107,kodiak,57.79,-152.4072,-12.27,56,0,7.2,US,1706563223
108,klyuchi,52.2667,79.1667,-18.24,97,79,2.51,RU,1706563223
109,lompoc,34.6391,-120.4579,25.43,47,20,6.17,US,1706563224
110,coquimbo,-29.9533,-71.3436,19.64,77,43,3.79,CL,1706562796
111,grand falls-windsor,48.9332,-55.6649,-10.28,88,100,3.13,CA,1706563225
112,shadipur julana,29.1333,76.4167,12.03,54,46,2.04,IN,1706563157
113,port elizabeth,-33.918,25.5701,23.39,89,20,14.92,ZA,1706563226
114,saint-francois,46.4154,3.9054,8.69,88,0,1.03,FR,1706563227
115,kapa'a,22.0752,-159.319,26.93,72,75,9.26,US,1706563228
116,toliara,-23.35,43.6667,25.71,78,53,1.75,MG,1706563228
117,cobija,-11.0267,-68.7692,25.1,100,75,1.54,BO,1706563229
118,brigantine,39.4101,-74.3646,5.03,74,100,5.14,US,1706563204
119,vadso,70.0744,29.7487,2.09,69,45,19.55,NO,1706563230
120,tomatlan,19.9333,-105.25,30.99,34,100,1.83,MX,1706563230
121,zhangatas,43.5667,69.75,-0.07,96,100,11.2,KZ,1706563231
122,guozhen,34.3659,107.359,0.46,80,46,0.72,CN,1706563232
123,saldanha,-33.0117,17.9442,17.91,93,90,5.03,ZA,1706563232
124,jining,35.405,116.5814,1.65,73,100,3.14,CN,1706562980
125,hodal,27.9,77.3667,12.27,69,46,1.56,IN,1706563233
126,yuzhno-kurilsk,44.0306,145.8556,-2.57,83,81,1.34,RU,1706563234
127,dryden,49.7833,-92.7503,-1.84,100,100,3.09,CA,1706563163
128,ilebo,-4.3167,20.5833,22.55,97,100,1.12,CD,1706563235
129,ziro,27.6333,93.8333,0.11,90,24,1.03,IN,1706563235
130,hithadhoo,-0.6,73.0833,27.83,75,16,2.72,MV,1706563236
131,san giovanni in fiore,39.2633,16.6996,1.14,84,8,2.45,IT,1706563237
132,berezovo,63.9381,65.0419,-20.3,99,78,3.11,RU,1706563237
133,puerto armuelles,8.2833,-82.8667,30.09,64,100,1.34,PA,1706563218
134,parral,26.9333,-105.6667,21.09,17,97,1.72,MX,1706563238
135,mount isa,-20.7333,139.5,24.87,88,75,0.0,AU,1706563239
136,elk city,35.412,-99.4043,21.12,21,0,1.54,US,1706563239
137,arraial do cabo,-22.9661,-42.0278,26.98,83,40,4.12,BR,1706563240
138,thompson,55.7435,-97.8558,-4.91,93,100,3.6,CA,1706563240
139,tsiombe,-25.3,45.4833,22.68,81,22,6.82,MG,1706563241
140,tura,25.5198,90.2201,12.21,62,0,1.29,IN,1706563241
141,ola,59.5833,151.2833,-20.59,81,91,4.17,RU,1706563242
142,launceston,-41.45,147.1667,16.0,62,40,1.03,AU,1706563242
143,greenville,35.6127,-77.3663,14.09,45,0,3.09,US,1706563243
144,queenstown,-31.8976,26.8753,22.62,49,96,1.24,ZA,1706563243
145,ribeira grande,38.5167,-28.7,17.22,88,40,9.77,PT,1706563244
146,ta`u,-14.2336,-169.5144,28.64,75,100,3.7,AS,1706563244
147,strangnas,59.3774,17.0312,2.99,99,100,0.92,SE,1706563245
148,santa maria,-29.6842,-53.8069,27.21,60,50,2.13,BR,1706563095
149,sola,-13.8833,167.55,26.17,86,100,3.39,VU,1706563246
150,salalah,17.0151,54.0924,24.05,69,20,2.06,OM,1706563246
151,dunedin,-45.8742,170.5036,16.94,63,40,1.27,NZ,1706562986
152,holualoa,19.6228,-155.9522,25.91,80,75,7.2,US,1706563247
153,motygino,58.1831,94.7592,-25.12,94,8,2.68,RU,1706563248
154,mount gambier,-37.8333,140.7667,13.37,84,8,2.26,AU,1706563237
155,port douglas,-16.4833,145.4667,27.97,85,64,2.59,AU,1706563249
156,vila franca do campo,37.7167,-25.4333,18.27,99,61,7.25,PT,1706563249
157,peace river,56.2501,-117.286,6.17,65,75,0.0,CA,1706563033
158,iskateley,67.6803,53.1512,-4.99,91,100,11.62,RU,1706563251
159,atafu village,-8.5421,-172.5159,29.23,71,79,3.49,TK,1706563251
160,georgetown,5.4112,100.3354,27.19,84,20,2.57,MY,1706563245
161,ivanovskoye,44.5795,41.8764,-7.07,96,50,2.08,RU,1706563252
162,cockburn town,21.4612,-71.1419,26.98,69,40,5.14,TC,1706563253
163,severo-yeniseyskiy,60.3725,93.0408,-29.68,98,27,1.79,RU,1706563253
164,neryungri,56.6709,124.6491,-30.64,98,100,1.87,RU,1706563254
165,inhambane,-23.865,35.3833,24.27,86,5,3.44,MZ,1706563254
166,nova sintra,14.8667,-24.7167,21.46,67,83,8.25,CV,1706563254
167,palu,-0.8917,119.8707,24.91,97,100,0.97,ID,1706563255
168,morden,49.1919,-98.1014,4.24,75,70,4.63,CA,1706563255
169,whitehorse,60.7161,-135.0538,4.43,87,100,9.77,CA,1706563256
170,avarua,-21.2078,-159.775,29.03,89,75,3.6,CK,1706563256
171,chibougamau,49.9168,-74.3659,-11.21,52,0,2.57,CA,1706563257
172,wynyard,-41.0,145.7167,13.34,51,0,1.61,AU,1706563257
173,uliastay,47.7417,96.8444,-22.36,72,0,2.84,MN,1706563258
174,fort st. john,56.2499,-120.8529,12.94,44,40,10.29,CA,1706563259
175,hemsby,52.6971,1.6918,11.06,96,100,6.75,GB,1706563259
